Name/ID,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness,Delinquency  Rate
10168,VOIP/VSP,Telecommunications,0,0,3,197123.889,197123.889,Y,0
10301,Media,Media & Content,0,0,70,0,1092843.013,Y,Low Risk
10329,Real Estate / Construction,Other Enterprise,0.157143,0.322514,70,15635647.41,20678366.92,N,Low Risk
10492,Cloud Service Provider,Data Center & Cloud Services,0,0.073722,55,6439380.374,6914105.951,Y,Low Risk
10565,Higher Education,Research & Education,0,-0.073995,455,0,124190798,N,Low Risk
10599,Manufacturing,Energy & Manufacturing,0,0.397113,57,10907521.86,15239044.66,Y,Low Risk
11179,Retail,Other Enterprise,0,0,0,0,273104.6349,Y,Low Risk
11243,Consulting / Other Professional Services,Professional Services,0,0,9,801637.1486,801637.1486,Y,Low Risk
11410,Finance,Finance,0,0,2,102504.4223,102504.4223,Y,0
11573,Non-Healthcare Insurance,Other Enterprise,0,0,44,9199114.82,9199114.82,Y,High Risk
11850,Oil & Gas,Energy & Manufacturing,0,0,50,0,38979817.93,N,Low Risk
11919,Legal,Professional Services,0,0.401205,12,1708407.038,2393827.827,N,Low Risk
12029,Consulting / Other Professional Services,Professional Services,0,0,0,0,265942.467,N,M
12268,Internet Content & Software,Media & Content,0,0,14,2234070.742,2234070.742,Y,High Risk
12283,Consulting / Other Professional Services,Professional Services,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12348,Consulting / Other Professional Services,Professional Services,0,0.694458,52,7227875.93,12247329.56,Y,High Risk
12427,Manufacturing,Energy & Manufacturing,0,0,0,0,0,N,0
12451,Internet Content & Software,Media & Content,0,0,4,381106.1854,381106.1854,Y,0
12620,Systems Integrators,Government,5.25,7.52236,8,1169601.741,9967766.571,N,Low Risk
12813,Consulting / Other Professional Services,Professional Services,0,0.015873,4,827920.3338,841061.9264,Y,Low Risk
12870,Internet Content & Software,Media & Content,0,0,0,0,0,0,Low Risk
13149,Manufacturing,Energy & Manufacturing,0,0.030303,4,433672.5558,446814.1484,Y,Low Risk
13226,Consulting / Other Professional Services,Professional Services,0,0,17,1708407.038,1708407.038,Y,0
13512,Internet Content & Software,Media & Content,0,-0.083333,1,157699.1112,144557.5186,Y,Low Risk
13527,Higher Education,Research & Education,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13587,Utilities,Energy & Manufacturing,0,0,3,210265.4816,210265.4816,N,Low Risk
13665,Finance,Finance,0,0,55,3942477.78,3942477.78,Y,High Risk
13895,Real Estate / Construction,Other Enterprise,0,0,0,0,0,N,Low Risk
13961,Regional Carrier/ISP,Telecommunications,0,0.016667,6,788495.556,801637.1486,Y,Low Risk
13971,RLEC,Telecommunications,0,0,7,274389.8827,274389.8827,N,0
14113,Internet Content & Software,Media & Content,0,0,0,0,4634807.104,N,High Risk
14172,Regional Carrier/ISP,Telecommunications,0,0,2,249690.2594,249690.2594,Y,0
14181,Non-Healthcare Insurance,Other Enterprise,0,0.630487,3,407389.3706,664243.1121,N,Low Risk
14259,Federal Government,Government,0,0.164976,469,106858733.9,124487807.2,N,Low Risk
14288,Oil & Gas,Energy & Manufacturing,0,1.676839,700,112360616.7,300771288.2,N,Low Risk
14410,Colo/Hosting,Data Center & Cloud Services,0,-0.101873,20,3416814.076,3068731.399,N,Low Risk
14458,Healthcare,Healthcare,0,0.499768,65,7490707.782,11234326.98,Y,Low Risk
14693,Higher Education,Research & Education,0,-0.01525,2000,0,412417343.9,N,Low Risk
